 T, m
   2.826600     ,  0.1296153    
   2.828400     ,  0.1296033    
   2.830200     ,  0.1308971    
   2.832000     ,  0.1325181    
   2.833800     ,  0.1298126    
   2.835600     ,  0.1319172    
   2.837400     ,  0.1293648    
   2.839200     ,  0.1297498    
   2.841000     ,  0.1296368    
   2.842800     ,  0.1273026    
   2.844600     ,  0.1282410    
   2.846400     ,  0.1275601    
   2.848200     ,  0.1267679    
   2.850000     ,  0.1294693    
   2.851800     ,  0.1273801    
   2.853600     ,  0.1288144    
   2.855400     ,  0.1269245    
   2.857200     ,  0.1260189    
   2.859000     ,  0.1258493    
   2.860800     ,  0.1282672    
   2.862600     ,  0.1250012    
   2.864400     ,  0.1239700    
   2.866200     ,  0.1224372    
   2.868000     ,  0.1245837    
   2.869800     ,  0.1248957    
   2.871600     ,  0.1231990    
   2.873400     ,  0.1254616    
   2.875200     ,  0.1237322    
   2.877000     ,  0.1235540    
   2.878800     ,  0.1282199    
   2.880600     ,  0.1222369    
   2.882400     ,  0.1233025    
   2.884200     ,  0.1230357    
   2.886000     ,  0.1236157    
   2.887800     ,  0.1227344    
   2.889600     ,  0.1205098    
   2.891400     ,  0.1242512    
   2.893200     ,  0.1206600    
   2.895000     ,  0.1225784    
   2.896800     ,  0.1220905    
   2.898600     ,  0.1213897    
   2.900400     ,  0.1216842    
   2.902200     ,  0.1202210    
   2.904000     ,  0.1181775    
   2.905800     ,  0.1198451    
   2.907600     ,  0.1208941    
   2.909400     ,  0.1189859    
   2.911200     ,  0.1165358    
   2.913000     ,  0.1165147    
   2.914800     ,  0.1180518    
   2.916600     ,  0.1193302    
   2.918400     ,  0.1199028    
   2.920200     ,  0.1183738    
   2.922000     ,  0.1189346    
   2.923800     ,  0.1176899    
   2.925600     ,  0.1150452    
   2.927400     ,  0.1155868    
   2.929200     ,  0.1194755    
   2.931000     ,  0.1185125    
   2.932800     ,  0.1154996    
   2.934600     ,  0.1171334    
   2.936400     ,  0.1177085    
   2.938200     ,  0.1170587    
   2.940000     ,  0.1171841    
   2.941800     ,  0.1149984    
   2.943600     ,  0.1164615    
   2.945400     ,  0.1151320    
   2.947200     ,  0.1133823    
   2.949000     ,  0.1134002    
   2.950800     ,  0.1144985    
   2.952600     ,  0.1151916    
   2.954400     ,  0.1122739    
   2.956200     ,  0.1121920    
   2.958000     ,  0.1140799    
   2.959800     ,  0.1136122    
   2.961600     ,  0.1124455    
   2.963400     ,  0.1119864    
   2.965200     ,  0.1147219    
   2.967000     ,  0.1119827    
   2.968800     ,  0.1105457    
